Isolated Ce(3) Internal Energy,Isolated Ce(3) Free Energy,Isolated Ce(3) Entropy,Ce(3) with SOC Internal Energy,Ce(3) with SOC Free Energy,Ce(3) with SOC Entropy,Ce(3) with SOC and CFS Internal Energy,Ce(3) with SOC and CFS Free Energy,Ce(3) with SOC and CFS Entropy
0.0,-0.06822490952160479,0.00022741636507201657,1.004209100394216e-05,-0.04632124718000929,0.0001544376309033774,0.0006661795226290424,-0.03596371270125111,0.0001220996407462674
-0.0,-0.07213003902284143,0.00022741636507201627,1.3954950786376763e-05,-0.04897320649855213,0.00015444933401873896,0.0007624481827231966,-0.03806037319891428,0.00012238757420092949
-0.0,-0.07603516852407807,0.00022741636507201627,2.3395989224628266e-05,-0.051625567742269,0.00015447790725706405,0.0009582714017901672,-0.04016692232027293,0.0001229868546407686
-1.1102230246251565e-16,-0.07994029802531472,0.00022741636507201627,3.7335923416703665e-05,-0.05427850836394625,0.00015451807413684898,0.001179645460908596,-0.042284164166375024,0.00012363079714699187
-2.220446049250313e-16,-0.08384542752655136,0.00022741636507201584,5.709172997458989e-05,-0.05693224907626179,0.00015457238404022644,0.001426600596061478,-0.04441282848491709,0.00012431521587833935
-2.220446049250313e-16,-0.08775055702778799,0.00022741636507201584,8.411580318112843e-05,-0.05958705488653989,0.00015464340033834417,0.0016990754092836013,-0.04655357562078263,0.00012503625108840248
2.220446049250313e-16,-0.09165568652902463,0.0002274163650720167,0.00011996231371558252,-0.06224323454242714,0.00015473361237237893,0.001996958118460457,-0.0487070027647208,0.00012579041862223147
-0.0,-0.09556081603026127,0.00022741636507201584,0.00016625062650144073,-0.06490113854377311,0.00015484535852171863,0.0023201144352245073,-0.05087365060376836,0.00012657461604909928
-2.220446049250313e-16,-0.09946594553149792,0.0002274163650720154,0.00022462819458202166,-0.06756115594620335,0.00015498076339507403,0.0026684042965324783,-0.05305400978054846,0.00012738610115849386
-0.0,-0.10337107503273454,0.00022741636507201584,0.0002967348794600255,-0.07022371021592717,0.00015514169030291175,0.003041689886224219,-0.055248526805171186,0.00012822245477271481
-0.0,-0.10727620453397117,0.00022741636507201627,0.0003841701419595722,-0.07288925440105082,0.00015532970876209248,0.003439837267009138,-0.057457609237389164,0.00012908153646126047
2.220446049250313e-16,-0.11118133403520782,0.00022741636507201627,0.0004884640678437524,-0.07555826587038288,0.0001555460758352954,0.0038627136555480224,-0.05968163007757811,0.00012996143897720945
-0.0,-0.11508646353644446,0.00022741636507201627,0.0006110527761407081,-0.07823124084387917,0.00015579172955131493,0.00431018201644362,-0.06192093138408121,0.00013086044509644343
2.220446049250313e-16,-0.11899159303768109,0.00022741636507201584,0.0007532584207463611,-0.08090868890547853,0.00015606729239989875,0.004782094288449779,-0.0641758271819004,0.00013177698896352837
4.440892098500626e-16,-0.12289672253891773,0.0002274163650720154,0.0009162737385453035,-0.08359112765357266,0.00015637308286016276,0.0052782842234790905,-0.06644660575252562,0.0001327096229368906
-0.0,-0.12680185204015437,0.00022741636507201584,0.0011011509130074426,-0.08627907760976697,0.00015670913303019156,0.005798560532809027,-0.06873353140397544,0.00013365699017988037
-0.0,-0.13070698154139102,0.00022741636507201627,0.0013087943999727791,-0.08897305747481157,0.0001570752106184823,0.006342700800271883,-0.0710368458193094,0.00013461780277229706
-0.0,-0.13461211104262766,0.0002274163650720167,0.0015399572902217162,-0.09167357979262394,0.00015747084379212585,0.006910446437350837,-0.0733567690749432,0.00013559082484286685
-0.0,-0.1385172405438643,0.0002274163650720154,0.001795240749807192,-0.09438114705959164,0.00015789534762194026,0.0075014988147248385,-0.0756935004098725,0.00013657486008698642
4.440892098500626e-16,-0.14242237004510094,0.00022741636507201627,0.0020750960739779334,-0.09709624829681181,0.0001583478511019299,0.00811551660213139,-0.07804721881530437,0.0001375687429900135
-4.440892098500626e-16,-0.14632749954633756,0.00022741636507201627,0.00237982890535271,-0.09981935608733468,0.00015882732393788807,0.008752114276521006,-0.08041808350245881,0.0001385713330909373
-0.0,-0.1502326290475742,0.00022741636507201714,0.0027096051951089883,-0.10255092406841601,0.00015933260249204268,0.009410861710950957,-0.08280623429519514,0.00013958151167048263
-0.0,-0.15413775854881087,0.00022741636507201454,0.0030644585220613862,-0.10529138485978867,0.00015986241443530572,0.010091284727822947,-0.08521179198407136,0.00014059818031506195
-0.0,-0.15804288805004746,0.0002274163650720154,0.003444298424829295,-0.10804114840255784,0.00016041540179639055,0.010792866485264119,-0.08763485866965182,0.00014162026088239974
4.440892098500626e-16,-0.1619480175512841,0.00022741636507201714,0.0038489194439050856,-0.11080060067905863,0.0001609901422097923,0.011515049560767432,-0.09007551811538608,0.00014264669646907053
4.440892098500626e-16,-0.16585314705252077,0.00022741636507201454,0.004278010611458161,-0.11357010278148,0.00016158516825494568,0.012257238598675002,-0.09253383612414515,0.0001436764530504237
-0.0,-0.16975827655375736,0.0002274163650720154,0.004731165165786866,-0.11634999029589516,0.00016219898484965117,0.013018803395334455,-0.09500986094742084,0.0001447085215269448
-0.0,-0.17366340605499406,0.00022741636507201714,0.0052078903036529844,-0.11914057296823571,0.00016283008471511956,0.013799082305947952,-0.09750362373214126,0.00014574191996711682
8.881784197001252e-16,-0.17756853555623064,0.00022741636507201714,0.005707616816847505,-0.12194213461944471,0.00016347696197041356,0.014597385869049795,-0.10001513900689758,0.0001467756958850588
-0.0,-0.18147366505746731,0.000227416365072018,0.006229708489068564,-0.1247549332783307,0.00016413812394302715,0.01541300055709005,-0.10254440520698165,0.00014780892843186321
-0.0,-0.18537879455870399,0.0002274163650720154,0.006773471155475885,-0.12757920150233656,0.00016481210130218438,0.01624519257420154,-0.10509140523587068,0.00014884073041331438
-0.0,-0.18928392405994057,0.00022741636507201627,0.007338161350292971,-0.13041514685840572,0.00016549745663391267,0.01709321163437938,-0.10765610705956012,0.00014987025007426064
-0.0,-0.19318905356117724,0.0002274163650720154,0.00792299448767908,-0.13326295253824869,0.000166192791583582,0.017956294664652095,-0.11023846432933011,0.00015089667261202182
-0.0,-0.19709418306241386,0.00022741636507201454,0.00852715253808567,-0.13612277808450854,0.00016689675269390258,0.018833669388317098,-0.1128384170280538,0.0001519192213987916
